,address_raw,address_clean,latitude,longitude,working_hours,geocoding_quality
408,ул. Урицкого  51,"Красноярск, улица Урицкого, 51",56.0094229,92.8781888,9:00-20:00,"51, улица Урицкого, Центральный район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660049, Россия"
409,ул. Шахтёров  8,"Красноярск, улица Шахтёров, 8",56.0429328,92.8926753,9:00-20:00,"62/8, улица Шахтёров, Покровка, Советский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660000, Россия"
410,Проспект Металлургов  36,"Красноярск, Проспект Металлургов, 36",56.0457512,92.9453983,9:00-20:00,"36, проспект Металлургов, Советский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660005, Россия"
411,ул. Ладо Кецховели  20,"Красноярск, улица Ладо Кецховели, 20",56.0090227,92.8142846,9:00-20:00,"20, улица Ладо Кецховели, Железнодорожный район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660001, Россия"
412,ул. Анатолия Гладкова  25,"Красноярск, улица Анатолия Гладкова, 25",55.9862945,92.8775314,9:00-20:00,"25, улица Анатолия Гладкова, Свердловский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660016, Россия"
413,Проспект Имени Газеты Красноярский Рабочий  181,"Красноярск, Проспект Имени Газеты Красноярский Рабочий, 181",55.9929114,92.8931621,9:00-20:00,"181, проспект имени газеты Красноярский Рабочий, Свердловский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660093, Россия"
414,Проспект 60 Лет Образования Ссср  50Ж,"Красноярск, Проспект 60 Лет Образования Ссср, 50Ж",56.1071358,92.9100693,9:00-20:00,"50Ж, проспект 60 лет Образования СССР, 4-й микрорайон, Солнечный микрорайон, Советский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660000, Россия"
415,ул. Академика Вавилова  56В,"Красноярск, улица Академика Вавилова, 56В",55.9992707,92.9292621,9:00-20:00,"56В, улица Академика Вавилова, Кировский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660025, Россия"
416,Грунтовая ул.  28А,"Красноярск, Грунтовая улица, 28А",55.9843223,92.9499179,9:00-20:00,"28А, Грунтовая улица, Кировский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660000, Россия"
417,ул. Лесников  37Б,"Красноярск, улица Лесников, 37Б",55.9809006,92.7975934,9:00-20:00,"37Б, улица Лесников, Свердловский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660000, Россия"
418,Северный Проезд  4,"Красноярск, Северный Проезд, 4",56.0181008,92.9681534,9:00-20:00,"4, Северный проезд, Ленинский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660000, Россия"
419,Судостроительная ул.  125,"Красноярск, Судостроительная улица, 125",55.9882203,92.8494673,9:00-20:00,"125, Судостроительная улица, Свердловский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660012, Россия"
